Dialogue_Act,Utterance
GIVE_REASON,nämlich da hat dieses Hotel Königshof auch noch Zimmer frei also das wäre kein Problem
INIT,dann bleibt nur noch die Frage zu klären wie die Anreise ist
BACKCHANNEL,mhm
ACCEPT,ja das ist gut
GIVE_REASON,nämlich da hat dieses Hotel Königshof auch noch Zimmer frei also das wäre kein Problem
INIT,dann bleibt nur noch die Frage zu klären wie die Anreise ist
SUGGEST,also ich kann Ihnen da anbieten einmal Zugverbindung
ACCEPT,ja das ist gut
GIVE_REASON,nämlich da hat dieses Hotel Königshof auch noch Zimmer frei also das wäre kein Problem
INIT,dann bleibt nur noch die Frage zu klären wie die Anreise ist
SUGGEST,also ich kann Ihnen da anbieten einmal Zugverbindung
SUGGEST,oder Flugverbindung
GIVE_REASON,nämlich da hat dieses Hotel Königshof auch noch Zimmer frei also das wäre kein Problem
INIT,dann bleibt nur noch die Frage zu klären wie die Anreise ist
SUGGEST,also ich kann Ihnen da anbieten einmal Zugverbindung
SUGGEST,oder Flugverbindung
REQUEST,haben Sie ein <häs> würden Sie eines vorziehen
INIT,dann bleibt nur noch die Frage zu klären wie die Anreise ist
SUGGEST,also ich kann Ihnen da anbieten einmal Zugverbindung
SUGGEST,oder Flugverbindung
REQUEST,haben Sie ein <häs> würden Sie eines vorziehen
NOT_CLASSIFIABLE,oder möchten Sie beides ma
SUGGEST,also ich kann Ihnen da anbieten einmal Zugverbindung
SUGGEST,oder Flugverbindung
REQUEST,haben Sie ein <häs> würden Sie eines vorziehen
NOT_CLASSIFIABLE,oder möchten Sie beides ma
FEEDBACK,<hm> ja je nachdem wie lange
SUGGEST,oder Flugverbindung
REQUEST,haben Sie ein <häs> würden Sie eines vorziehen
NOT_CLASSIFIABLE,oder möchten Sie beides ma
FEEDBACK,<hm> ja je nachdem wie lange
REQUEST,wie lang ist denn die Dauer mit der Zugverbindung
REQUEST,haben Sie ein <häs> würden Sie eines vorziehen
NOT_CLASSIFIABLE,oder möchten Sie beides ma
FEEDBACK,<hm> ja je nachdem wie lange
REQUEST,wie lang ist denn die Dauer mit der Zugverbindung
INFORM,ja also der Zug <äh> fährt insgesamt drei Stunden und zwanzig Minuten
NOT_CLASSIFIABLE,oder möchten Sie beides ma
FEEDBACK,<hm> ja je nachdem wie lange
REQUEST,wie lang ist denn die Dauer mit der Zugverbindung
INFORM,ja also der Zug <äh> fährt insgesamt drei Stunden und zwanzig Minuten
INFORM,vom Flug also der braucht zirka eine Stunde
FEEDBACK,<hm> ja je nachdem wie lange
REQUEST,wie lang ist denn die Dauer mit der Zugverbindung
INFORM,ja also der Zug <äh> fährt insgesamt drei Stunden und zwanzig Minuten
INFORM,vom Flug also der braucht zirka eine Stunde
BACKCHANNEL,mhm
REQUEST,wie lang ist denn die Dauer mit der Zugverbindung
INFORM,ja also der Zug <äh> fährt insgesamt drei Stunden und zwanzig Minuten
INFORM,vom Flug also der braucht zirka eine Stunde
BACKCHANNEL,mhm
BACKCHANNEL,mhm
INFORM,ja also der Zug <äh> fährt insgesamt drei Stunden und zwanzig Minuten
INFORM,vom Flug also der braucht zirka eine Stunde
BACKCHANNEL,mhm
BACKCHANNEL,mhm
INFORM,allerdings muß man da noch ein und auschecken und die ganzen Flughafensachen
INFORM,vom Flug also der braucht zirka eine Stunde
BACKCHANNEL,mhm
BACKCHANNEL,mhm
INFORM,allerdings muß man da noch ein und auschecken und die ganzen Flughafensachen
DELIBERATE,ja ich denke nee
BACKCHANNEL,mhm
BACKCHANNEL,mhm
INFORM,allerdings muß man da noch ein und auschecken und die ganzen Flughafensachen
DELIBERATE,ja ich denke nee
ACCEPT,drei Stunden zwanzig Minuten ist auch okay
BACKCHANNEL,mhm
INFORM,allerdings muß man da noch ein und auschecken und die ganzen Flughafensachen
DELIBERATE,ja ich denke nee
ACCEPT,drei Stunden zwanzig Minuten ist auch okay
NOT_CLASSIFIABLE,dann bin ich um fü kurz vor neun
INFORM,allerdings muß man da noch ein und auschecken und die ganzen Flughafensachen
DELIBERATE,ja ich denke nee
ACCEPT,drei Stunden zwanzig Minuten ist auch okay
NOT_CLASSIFIABLE,dann bin ich um fü kurz vor neun
BACKCHANNEL,mhm
DELIBERATE,ja ich denke nee
ACCEPT,drei Stunden zwanzig Minuten ist auch okay
NOT_CLASSIFIABLE,dann bin ich um fü kurz vor neun
BACKCHANNEL,mhm
INFORM,ja also der Zug fährt auch stündlich ab Bonn Hauptbahnhof
ACCEPT,drei Stunden zwanzig Minuten ist auch okay
NOT_CLASSIFIABLE,dann bin ich um fü kurz vor neun
BACKCHANNEL,mhm
INFORM,ja also der Zug fährt auch stündlich ab Bonn Hauptbahnhof
FEEDBACK_POSITIVE,ach so das ist ja <%> prima
NOT_CLASSIFIABLE,dann bin ich um fü kurz vor neun
BACKCHANNEL,mhm
INFORM,ja also der Zug fährt auch stündlich ab Bonn Hauptbahnhof
FEEDBACK_POSITIVE,ach so das ist ja <%> prima
INFORM,allerdings muß man einmal umsteigen in Dortmund
BACKCHANNEL,mhm
INFORM,ja also der Zug fährt auch stündlich ab Bonn Hauptbahnhof
FEEDBACK_POSITIVE,ach so das ist ja <%> prima
INFORM,allerdings muß man einmal umsteigen in Dortmund
INFORM,also man hat vorher $I-$C und ab Dortmund dann einen $I-$C-$E bis Hannover
INFORM,ja also der Zug fährt auch stündlich ab Bonn Hauptbahnhof
FEEDBACK_POSITIVE,ach so das ist ja <%> prima
INFORM,allerdings muß man einmal umsteigen in Dortmund
INFORM,also man hat vorher $I-$C und ab Dortmund dann einen $I-$C-$E bis Hannover
FEEDBACK_POSITIVE,ja das ist ja dann relativ komfortabel
FEEDBACK_POSITIVE,ach so das ist ja <%> prima
INFORM,allerdings muß man einmal umsteigen in Dortmund
INFORM,also man hat vorher $I-$C und ab Dortmund dann einen $I-$C-$E bis Hannover
FEEDBACK_POSITIVE,ja das ist ja dann relativ komfortabel
FEEDBACK_POSITIVE,das ist ja dann kein Problem
INFORM,allerdings muß man einmal umsteigen in Dortmund
INFORM,also man hat vorher $I-$C und ab Dortmund dann einen $I-$C-$E bis Hannover
FEEDBACK_POSITIVE,ja das ist ja dann relativ komfortabel
FEEDBACK_POSITIVE,das ist ja dann kein Problem
INFORM,<ähm> ja dann <ähm> der fährt stündlich
INFORM,also man hat vorher $I-$C und ab Dortmund dann einen $I-$C-$E bis Hannover
FEEDBACK_POSITIVE,ja das ist ja dann relativ komfortabel
FEEDBACK_POSITIVE,das ist ja dann kein Problem
INFORM,<ähm> ja dann <ähm> der fährt stündlich
REQUEST_COMMENT,sagten Sie
FEEDBACK_POSITIVE,ja das ist ja dann relativ komfortabel
FEEDBACK_POSITIVE,das ist ja dann kein Problem
INFORM,<ähm> ja dann <ähm> der fährt stündlich
REQUEST_COMMENT,sagten Sie
REQUEST_SUGGEST,wie sind denn da die Abfahrtszeiten
FEEDBACK_POSITIVE,das ist ja dann kein Problem
INFORM,<ähm> ja dann <ähm> der fährt stündlich
REQUEST_COMMENT,sagten Sie
REQUEST_SUGGEST,wie sind denn da die Abfahrtszeiten
INFORM,ja stündlich immer um Viertel vor volle Stunde
INFORM,<ähm> ja dann <ähm> der fährt stündlich
REQUEST_COMMENT,sagten Sie
REQUEST_SUGGEST,wie sind denn da die Abfahrtszeiten
INFORM,ja stündlich immer um Viertel vor volle Stunde
INFORM,also von von sechs Uhr fünfundvierzig bis achtzehn Uhr fünfundvierzig den ganzen Tag über
REQUEST_COMMENT,sagten Sie
REQUEST_SUGGEST,wie sind denn da die Abfahrtszeiten
INFORM,ja stündlich immer um Viertel vor volle Stunde
INFORM,also von von sechs Uhr fünfundvierzig bis achtzehn Uhr fünfundvierzig den ganzen Tag über
BACKCHANNEL,mhm
SUGGEST,dann <äh> würde ich den um Viertel vor acht nehmen
BACKCHANNEL,mhm
ACCEPT,ja gut
OFFER,<ähm> <häs> soll ich Karten schon für Sie reservieren im Zug
ACCEPT,ja das wäre sehr nett
BACKCHANNEL,mhm
ACCEPT,ja gut
OFFER,<ähm> <häs> soll ich Karten schon für Sie reservieren im Zug
ACCEPT,ja das wäre sehr nett
NOT_CLASSIFIABLE,<ähm>
ACCEPT,ja gut
OFFER,<ähm> <häs> soll ich Karten schon für Sie reservieren im Zug
ACCEPT,ja das wäre sehr nett
NOT_CLASSIFIABLE,<ähm>
REQUEST,und wieviel <ähm> brauchen Sie
OFFER,<ähm> <häs> soll ich Karten schon für Sie reservieren im Zug
ACCEPT,ja das wäre sehr nett
NOT_CLASSIFIABLE,<ähm>
REQUEST,und wieviel <ähm> brauchen Sie
REQUEST,eine einen Platz nur
ACCEPT,ja das wäre sehr nett
NOT_CLASSIFIABLE,<ähm>
REQUEST,und wieviel <ähm> brauchen Sie
REQUEST,eine einen Platz nur
REQUEST,oder fahren mehrere Leute aus Ihrer Firma
NOT_CLASSIFIABLE,<ähm>
REQUEST,und wieviel <ähm> brauchen Sie
REQUEST,eine einen Platz nur
REQUEST,oder fahren mehrere Leute aus Ihrer Firma
INFORM,ich brauche vorläufig erst mal einen Platz
REQUEST,und wieviel <ähm> brauchen Sie
REQUEST,eine einen Platz nur
REQUEST,oder fahren mehrere Leute aus Ihrer Firma
INFORM,ich brauche vorläufig erst mal einen Platz
DEFER,wenn es mehrere werden dann rufe ich Sie noch mal an
REQUEST,eine einen Platz nur
REQUEST,oder fahren mehrere Leute aus Ihrer Firma
INFORM,ich brauche vorläufig erst mal einen Platz
DEFER,wenn es mehrere werden dann rufe ich Sie noch mal an
DELIBERATE,<ähm> da hätte ich allerdings noch eine Frage
REQUEST,oder fahren mehrere Leute aus Ihrer Firma
INFORM,ich brauche vorläufig erst mal einen Platz
DEFER,wenn es mehrere werden dann rufe ich Sie noch mal an
DELIBERATE,<ähm> da hätte ich allerdings noch eine Frage
INIT,wie ist das <ähm> mit einem Abendprogramm in Hannover
INFORM,ich brauche vorläufig erst mal einen Platz
DEFER,wenn es mehrere werden dann rufe ich Sie noch mal an
DELIBERATE,<ähm> da hätte ich allerdings noch eine Frage
INIT,wie ist das <ähm> mit einem Abendprogramm in Hannover
REQUEST_SUGGEST,da kann man was kann man da machen
DEFER,wenn es mehrere werden dann rufe ich Sie noch mal an
DELIBERATE,<ähm> da hätte ich allerdings noch eine Frage
INIT,wie ist das <ähm> mit einem Abendprogramm in Hannover
REQUEST_SUGGEST,da kann man was kann man da machen
REQUEST_SUGGEST,was bietet sich da an
DELIBERATE,<ähm> da hätte ich allerdings noch eine Frage
INIT,wie ist das <ähm> mit einem Abendprogramm in Hannover
REQUEST_SUGGEST,da kann man was kann man da machen
REQUEST_SUGGEST,was bietet sich da an
REQUEST_SUGGEST,was können Sie mir empfehlen
INIT,wie ist das <ähm> mit einem Abendprogramm in Hannover
REQUEST_SUGGEST,da kann man was kann man da machen
REQUEST_SUGGEST,was bietet sich da an
REQUEST_SUGGEST,was können Sie mir empfehlen
INFORM,ja also generell haben wir hier in Hannover natürlich alles
REQUEST_SUGGEST,da kann man was kann man da machen
REQUEST_SUGGEST,was bietet sich da an
REQUEST_SUGGEST,was können Sie mir empfehlen
INFORM,ja also generell haben wir hier in Hannover natürlich alles
SUGGEST,also Kino Konzerte Theater
INFORM,also wir haben bis jetzt nur hier bis zum Ende dieses Jahres die Veranstaltungstermine
DEFER,da müßten Sie dann eventuell im Januar noch mal sich melden oder ab Januar
ACCEPT,das <äh> werde ich dann machen
ACCEPT,okay
INFORM,dann <ähm> wiederholen wir noch mal wie das war
CLARIFY,<hm> ja ich denke bis Freitag den neunzehnten
DEFER,also es muß nicht jetzt sofort sein
INFORM,so wie es aussieht hat das Hotel auch noch Zimmer frei in den nächsten Monaten
INFORM,so ist es nicht aber <häs> für die Reservierung ist es nötig
DEFER,okay dann rufe ich Sie noch mal an
DEFER,also es muß nicht jetzt sofort sein
INFORM,so wie es aussieht hat das Hotel auch noch Zimmer frei in den nächsten Monaten
INFORM,so ist es nicht aber <häs> für die Reservierung ist es nötig
DEFER,okay dann rufe ich Sie noch mal an
ACCEPT,ja gut
INFORM,so wie es aussieht hat das Hotel auch noch Zimmer frei in den nächsten Monaten
INFORM,so ist es nicht aber <häs> für die Reservierung ist es nötig
DEFER,okay dann rufe ich Sie noch mal an
ACCEPT,ja gut
REQUEST_COMMENT,oder
INFORM,so ist es nicht aber <häs> für die Reservierung ist es nötig
DEFER,okay dann rufe ich Sie noch mal an
ACCEPT,ja gut
REQUEST_COMMENT,oder
FEEDBACK_POSITIVE,ja
DEFER,okay dann rufe ich Sie noch mal an
ACCEPT,ja gut
REQUEST_COMMENT,oder
FEEDBACK_POSITIVE,ja
DEFER,oder Sie melden sich
ACCEPT,ja gut
REQUEST_COMMENT,oder
FEEDBACK_POSITIVE,ja
DEFER,oder Sie melden sich
ACCEPT,gut
REQUEST_COMMENT,oder
FEEDBACK_POSITIVE,ja
DEFER,oder Sie melden sich
ACCEPT,gut
FEEDBACK_POSITIVE,alles klar
FEEDBACK_POSITIVE,ja
DEFER,oder Sie melden sich
ACCEPT,gut
FEEDBACK_POSITIVE,alles klar
FEEDBACK_POSITIVE,ja gut
DEFER,oder Sie melden sich
ACCEPT,gut
FEEDBACK_POSITIVE,alles klar
FEEDBACK_POSITIVE,ja gut
NOT_CLASSIFIABLE,dann
ACCEPT,gut
FEEDBACK_POSITIVE,alles klar
FEEDBACK_POSITIVE,ja gut
NOT_CLASSIFIABLE,dann
BYE,ja dann auf Wiederhören
FEEDBACK_POSITIVE,alles klar
FEEDBACK_POSITIVE,ja gut
NOT_CLASSIFIABLE,dann
BYE,ja dann auf Wiederhören
BYE,gut Wiederhören
INTRODUCE,hier ist Nicole Schmidt
GREET,grüß Gott
INTRODUCE,hier ist Doll
INIT,ja es geht um unsre Geschäftsreise
REQUEST_CLARIFY,wann soll die sein
GREET,grüß Gott
INTRODUCE,hier ist Doll
INIT,ja es geht um unsre Geschäftsreise
REQUEST_CLARIFY,wann soll die sein
REQUEST_SUGGEST,ich hätte gern ein paar Terminvorschläge von Ihnen
INTRODUCE,hier ist Doll
INIT,ja es geht um unsre Geschäftsreise
REQUEST_CLARIFY,wann soll die sein
REQUEST_SUGGEST,ich hätte gern ein paar Terminvorschläge von Ihnen
NOT_CLASSIFIABLE,jetzt müssen wir uns zuerst mal drüber oder
INIT,ja es geht um unsre Geschäftsreise
REQUEST_CLARIFY,wann soll die sein
REQUEST_SUGGEST,ich hätte gern ein paar Terminvorschläge von Ihnen
NOT_CLASSIFIABLE,jetzt müssen wir uns zuerst mal drüber oder
CLARIFY,ich gehe davon aus daß das eineinhalb Tage ist
REQUEST_CLARIFY,wann soll die sein
REQUEST_SUGGEST,ich hätte gern ein paar Terminvorschläge von Ihnen
NOT_CLASSIFIABLE,jetzt müssen wir uns zuerst mal drüber oder
CLARIFY,ich gehe davon aus daß das eineinhalb Tage ist
FEEDBACK_POSITIVE,ja das ist richtig
REQUEST_SUGGEST,ich hätte gern ein paar Terminvorschläge von Ihnen
NOT_CLASSIFIABLE,jetzt müssen wir uns zuerst mal drüber oder
CLARIFY,ich gehe davon aus daß das eineinhalb Tage ist
FEEDBACK_POSITIVE,ja das ist richtig
REQUEST_CLARIFY,in den nächsten drei Monaten
NOT_CLASSIFIABLE,jetzt müssen wir uns zuerst mal drüber oder
CLARIFY,ich gehe davon aus daß das eineinhalb Tage ist
FEEDBACK_POSITIVE,ja das ist richtig
REQUEST_CLARIFY,in den nächsten drei Monaten
FEEDBACK_POSITIVE,ja
CLARIFY,ich gehe davon aus daß das eineinhalb Tage ist
FEEDBACK_POSITIVE,ja das ist richtig
REQUEST_CLARIFY,in den nächsten drei Monaten
FEEDBACK_POSITIVE,ja
SUGGEST,also mir würde da Juli vorschweben
FEEDBACK_POSITIVE,ja das ist richtig
REQUEST_CLARIFY,in den nächsten drei Monaten
FEEDBACK_POSITIVE,ja
SUGGEST,also mir würde da Juli vorschweben
DELIBERATE,der Juli also jetzt schauen wir gleich nach einem Termin
REQUEST_CLARIFY,in den nächsten drei Monaten
FEEDBACK_POSITIVE,ja
SUGGEST,also mir würde da Juli vorschweben
DELIBERATE,der Juli also jetzt schauen wir gleich nach einem Termin
DELIBERATE,ja der Juli
FEEDBACK_POSITIVE,ja
SUGGEST,also mir würde da Juli vorschweben
DELIBERATE,der Juli also jetzt schauen wir gleich nach einem Termin
DELIBERATE,ja der Juli
REJECT,ja da wäre eigentlich schon was
SUGGEST,also mir würde da Juli vorschweben
DELIBERATE,der Juli also jetzt schauen wir gleich nach einem Termin
DELIBERATE,ja der Juli
REJECT,ja da wäre eigentlich schon was
REQUEST_CLARIFY,gleich zu Beginn
DELIBERATE,der Juli also jetzt schauen wir gleich nach einem Termin
DELIBERATE,ja der Juli
REJECT,ja da wäre eigentlich schon was
REQUEST_CLARIFY,gleich zu Beginn
ACCEPT,ja das täte schon passen eigentlich ja genau
DELIBERATE,ja der Juli
REJECT,ja da wäre eigentlich schon was
REQUEST_CLARIFY,gleich zu Beginn
ACCEPT,ja das täte schon passen eigentlich ja genau
REQUEST_SUGGEST,dann sagen Sie doch mal was paßt Ihnen
REJECT,ja da wäre eigentlich schon was
REQUEST_CLARIFY,gleich zu Beginn
ACCEPT,ja das täte schon passen eigentlich ja genau
REQUEST_SUGGEST,dann sagen Sie doch mal was paßt Ihnen
SUGGEST,oh mir täte passen der Samstag
REQUEST_CLARIFY,gleich zu Beginn
ACCEPT,ja das täte schon passen eigentlich ja genau
REQUEST_SUGGEST,dann sagen Sie doch mal was paßt Ihnen
SUGGEST,oh mir täte passen der Samstag
SUGGEST,der Samstag der fünfte vielleicht gleich
ACCEPT,ja das täte schon passen eigentlich ja genau
REQUEST_SUGGEST,dann sagen Sie doch mal was paßt Ihnen
SUGGEST,oh mir täte passen der Samstag
SUGGEST,der Samstag der fünfte vielleicht gleich
ACCEPT,ja
REQUEST_SUGGEST,dann sagen Sie doch mal was paßt Ihnen
SUGGEST,oh mir täte passen der Samstag
SUGGEST,der Samstag der fünfte vielleicht gleich
ACCEPT,ja
FEEDBACK_NEGATIVE,aber ist eigentlich schlecht am Wochenende
SUGGEST,oh mir täte passen der Samstag
SUGGEST,der Samstag der fünfte vielleicht gleich
ACCEPT,ja
FEEDBACK_NEGATIVE,aber ist eigentlich schlecht am Wochenende
REQUEST_COMMENT,oder
SUGGEST,der Samstag der fünfte vielleicht gleich
ACCEPT,ja
FEEDBACK_NEGATIVE,aber ist eigentlich schlecht am Wochenende
REQUEST_COMMENT,oder
INFORM,mir ist es egal
ACCEPT,ja
FEEDBACK_NEGATIVE,aber ist eigentlich schlecht am Wochenende
REQUEST_COMMENT,oder
INFORM,mir ist es egal
SUGGEST,sonst Dienstag der achte
FEEDBACK_NEGATIVE,aber ist eigentlich schlecht am Wochenende
REQUEST_COMMENT,oder
INFORM,mir ist es egal
SUGGEST,sonst Dienstag der achte
REJECT,nein
REQUEST_COMMENT,oder
INFORM,mir ist es egal
SUGGEST,sonst Dienstag der achte
REJECT,nein
REJECT,da kann ich überhaupt nicht
INFORM,mir ist es egal
SUGGEST,sonst Dienstag der achte
REJECT,nein
REJECT,da kann ich überhaupt nicht
SUGGEST,das muß schon die erste Juniwoche sein
SUGGEST,sonst Dienstag der achte
REJECT,nein
REJECT,da kann ich überhaupt nicht
SUGGEST,das muß schon die erste Juniwoche sein
SUGGEST,wie ist es denn mit dem Wochenende jetzt
REJECT,nein
REJECT,da kann ich überhaupt nicht
SUGGEST,das muß schon die erste Juniwoche sein
SUGGEST,wie ist es denn mit dem Wochenende jetzt
ACCEPT,das wäre frei
REJECT,da kann ich überhaupt nicht
SUGGEST,das muß schon die erste Juniwoche sein
SUGGEST,wie ist es denn mit dem Wochenende jetzt
ACCEPT,das wäre frei
FEEDBACK_POSITIVE,okay
SUGGEST,das muß schon die erste Juniwoche sein
SUGGEST,wie ist es denn mit dem Wochenende jetzt
ACCEPT,das wäre frei
FEEDBACK_POSITIVE,okay
CONFIRM,also am fünften sechsten Juli
SUGGEST,wie ist es denn mit dem Wochenende jetzt
ACCEPT,das wäre frei
FEEDBACK_POSITIVE,okay
CONFIRM,also am fünften sechsten Juli
BACKCHANNEL,mhm
ACCEPT,das wäre frei
FEEDBACK_POSITIVE,okay
CONFIRM,also am fünften sechsten Juli
BACKCHANNEL,mhm
REQUEST_CLARIFY,nach Hannover
FEEDBACK_POSITIVE,okay
CONFIRM,also am fünften sechsten Juli
BACKCHANNEL,mhm
REQUEST_CLARIFY,nach Hannover
FEEDBACK_POSITIVE,ja
CONFIRM,also am fünften sechsten Juli
BACKCHANNEL,mhm
REQUEST_CLARIFY,nach Hannover
FEEDBACK_POSITIVE,ja
INIT,jetzt geht es drum was nehmen wir überhaupt
BACKCHANNEL,mhm
REQUEST_CLARIFY,nach Hannover
FEEDBACK_POSITIVE,ja
INIT,jetzt geht es drum was nehmen wir überhaupt
SUGGEST,den Zug vielleicht
REQUEST_CLARIFY,nach Hannover
FEEDBACK_POSITIVE,ja
INIT,jetzt geht es drum was nehmen wir überhaupt
SUGGEST,den Zug vielleicht
INFORM,ich habe hier die Zugverbindungen vor mir liegen aber Flughafen auch also
FEEDBACK_POSITIVE,ja
INIT,jetzt geht es drum was nehmen wir überhaupt
SUGGEST,den Zug vielleicht
INFORM,ich habe hier die Zugverbindungen vor mir liegen aber Flughafen auch also
SUGGEST,also ich täte eigentlich lieber fliegen
INIT,jetzt geht es drum was nehmen wir überhaupt
SUGGEST,den Zug vielleicht
INFORM,ich habe hier die Zugverbindungen vor mir liegen aber Flughafen auch also
SUGGEST,also ich täte eigentlich lieber fliegen
ACCEPT,na gut
SUGGEST,den Zug vielleicht
INFORM,ich habe hier die Zugverbindungen vor mir liegen aber Flughafen auch also
SUGGEST,also ich täte eigentlich lieber fliegen
ACCEPT,na gut
INFORM,<ähm> die Flugzeit beträgt siebzig Minuten
INFORM,ich habe hier die Zugverbindungen vor mir liegen aber Flughafen auch also
SUGGEST,also ich täte eigentlich lieber fliegen
ACCEPT,na gut
INFORM,<ähm> die Flugzeit beträgt siebzig Minuten
INFORM,jeweils stündlich könnten wir los
SUGGEST,also ich täte eigentlich lieber fliegen
ACCEPT,na gut
INFORM,<ähm> die Flugzeit beträgt siebzig Minuten
INFORM,jeweils stündlich könnten wir los
SUGGEST,ja vielleicht gleich morgens früh sieben Uhr fünf
ACCEPT,na gut
INFORM,<ähm> die Flugzeit beträgt siebzig Minuten
INFORM,jeweils stündlich könnten wir los
SUGGEST,ja vielleicht gleich morgens früh sieben Uhr fünf
BACKCHANNEL,mm
INFORM,<ähm> die Flugzeit beträgt siebzig Minuten
